               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.019253,            0.010465,           0.0020528,             0.14659,             0.15935,             0.12477,            0.065133,            0.085326,            0.064153,            0.061414,            0.002872,            0.002872,            0.002872
                  38,            0.019117,            0.010219,           0.0020403,             0.18532,             0.12834,             0.13481,            0.069863,            0.087119,            0.068625,            0.073098,            0.002674,            0.002674,            0.002674
                  39,            0.018835,            0.010276,           0.0019826,             0.14487,             0.15935,             0.11401,            0.057696,            0.087967,            0.062913,            0.064969,            0.002476,            0.002476,            0.002476
                  40,            0.018693,            0.010228,           0.0019129,             0.16628,             0.12317,             0.12129,            0.061912,            0.087666,            0.068382,            0.071377,            0.002278,            0.002278,            0.002278
                  41,            0.018397,            0.010063,           0.0019977,             0.12892,             0.16279,             0.10395,            0.050581,            0.088164,            0.062885,            0.066894,             0.00208,             0.00208,             0.00208
                  42,            0.018032,           0.0099372,           0.0018988,             0.15971,             0.13178,             0.11536,            0.058805,            0.089146,            0.066545,             0.06881,            0.001882,            0.001882,            0.001882
                  43,            0.017885,           0.0098665,           0.0018839,             0.14678,             0.13351,             0.10957,            0.057901,             0.08799,            0.067497,            0.068188,            0.001684,            0.001684,            0.001684
                  44,            0.017555,           0.0098529,           0.0017976,             0.16116,             0.13867,             0.12048,            0.061983,            0.087568,            0.067051,            0.073194,            0.001486,            0.001486,            0.001486
                  45,            0.017377,           0.0096712,           0.0017239,             0.14579,             0.13437,             0.11143,            0.057023,             0.08936,            0.065922,            0.073014,            0.001288,            0.001288,            0.001288
                  46,            0.017143,           0.0097604,           0.0017937,             0.14246,             0.13092,             0.10816,            0.054665,            0.089707,            0.065806,             0.07072,             0.00109,             0.00109,             0.00109
                  47,            0.016974,           0.0094958,           0.0017758,             0.15155,             0.12661,             0.11069,            0.055556,            0.090418,            0.065869,            0.072499,            0.000892,            0.000892,            0.000892
                  48,            0.016735,           0.0095054,           0.0016712,             0.15954,             0.13178,             0.11843,            0.060487,            0.088804,            0.066607,            0.071779,            0.000694,            0.000694,            0.000694
                  49,            0.016889,           0.0094909,           0.0018101,              0.1568,             0.13006,             0.11508,            0.057741,            0.089461,            0.065396,            0.069836,            0.000496,            0.000496,            0.000496
