               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082734,            0.029995,            0.050642,             0.48107,             0.29451,             0.20676,            0.075773,            0.058981,            0.020047,            0.045846,             0.07013,           0.0033189,           0.0033189
                   1,            0.061297,            0.022327,            0.040623,             0.58678,             0.43892,             0.41091,             0.19543,            0.056841,            0.018109,            0.033694,            0.040086,           0.0066083,           0.0066083
                   2,            0.057073,            0.019843,            0.026764,             0.61133,             0.64843,             0.60212,             0.29096,            0.050185,            0.016893,            0.017831,           0.0099981,           0.0098538,           0.0098538
                   3,            0.051142,            0.018099,            0.014676,             0.84363,              0.6945,             0.73004,             0.40498,            0.042452,            0.015706,            0.014676,            0.009802,            0.009802,            0.009802
                   4,            0.045242,            0.017305,            0.010294,             0.90899,             0.74274,             0.78031,              0.4382,            0.040586,            0.014863,           0.0092033,            0.009802,            0.009802,            0.009802
                   5,            0.042704,            0.016789,           0.0086516,             0.93162,             0.75023,             0.79889,              0.4903,            0.035608,            0.014446,           0.0077495,            0.009736,            0.009736,            0.009736
                   6,            0.039843,            0.016213,           0.0074758,             0.91061,             0.76338,             0.81184,             0.49501,            0.035066,             0.01392,           0.0064118,             0.00967,             0.00967,             0.00967
                   7,            0.038517,             0.01596,           0.0064847,             0.92059,             0.76713,             0.81309,              0.5202,            0.032657,            0.013624,           0.0054375,            0.009604,            0.009604,            0.009604
                   8,            0.036593,            0.015517,           0.0059412,             0.92769,             0.75875,             0.81606,             0.52826,            0.031356,             0.01343,           0.0054726,            0.009538,            0.009538,            0.009538
                   9,            0.035956,            0.015045,           0.0055543,             0.93886,             0.78959,             0.84819,              0.5596,            0.030141,            0.013416,           0.0047498,            0.009472,            0.009472,            0.009472
                  10,            0.034669,            0.014766,           0.0053051,             0.95424,             0.77437,             0.83813,             0.53792,             0.03208,            0.013585,           0.0047959,            0.009406,            0.009406,            0.009406
                  11,             0.03395,            0.014784,            0.004863,             0.93962,             0.80739,             0.86544,              0.5705,            0.027991,            0.012206,           0.0043173,             0.00934,             0.00934,             0.00934
                  12,            0.033194,            0.014463,           0.0047509,             0.95729,             0.79866,             0.86715,             0.58058,            0.027334,            0.012147,           0.0050703,            0.009274,            0.009274,            0.009274
                  13,            0.032144,            0.014184,           0.0046618,             0.94745,              0.8159,              0.8677,             0.57992,            0.027181,            0.012267,           0.0041117,            0.009208,            0.009208,            0.009208
                  14,            0.031751,            0.014067,           0.0042853,             0.94557,             0.81273,             0.87387,                 0.6,            0.025878,            0.011446,           0.0038045,            0.009142,            0.009142,            0.009142
                  15,            0.030888,            0.013802,           0.0041874,             0.93922,             0.82832,             0.87832,             0.60769,            0.026235,            0.011521,           0.0041175,            0.009076,            0.009076,            0.009076
                  16,            0.030655,            0.013804,           0.0038989,             0.95488,             0.82858,             0.88603,             0.60468,            0.025481,            0.011413,           0.0044994,             0.00901,             0.00901,             0.00901
                  17,             0.03005,            0.013591,           0.0036602,             0.93727,             0.83031,             0.88202,             0.60763,            0.025123,            0.011452,           0.0034591,            0.008944,            0.008944,            0.008944
                  18,            0.029492,            0.013328,            0.003606,             0.95073,             0.84837,             0.89572,             0.62481,            0.024342,            0.011183,           0.0033575,            0.008878,            0.008878,            0.008878
                  19,            0.028893,            0.013329,           0.0036619,             0.93797,             0.84267,             0.89171,             0.62188,             0.02368,            0.011324,           0.0033171,            0.008812,            0.008812,            0.008812
                  20,            0.028392,            0.013116,            0.003609,             0.95424,             0.82052,             0.88968,             0.62742,            0.023811,            0.011193,           0.0032792,            0.008746,            0.008746,            0.008746
                  21,            0.028133,            0.013083,           0.0036093,             0.95979,             0.85056,             0.90534,             0.64412,            0.023104,            0.010694,           0.0031255,             0.00868,             0.00868,             0.00868
                  22,            0.027758,            0.013022,           0.0033497,             0.95276,             0.84086,             0.90546,             0.64148,            0.023106,            0.010872,           0.0032337,            0.008614,            0.008614,            0.008614
                  23,            0.027133,            0.012601,           0.0031945,             0.94723,             0.86431,             0.91129,             0.65044,            0.022413,            0.010619,           0.0033956,            0.008548,            0.008548,            0.008548
                  24,             0.02691,            0.012693,           0.0031447,             0.93895,             0.85962,             0.90588,             0.64978,             0.02253,            0.010524,           0.0031392,            0.008482,            0.008482,            0.008482
                  25,            0.026538,            0.012495,           0.0031446,             0.94428,             0.85848,             0.90477,             0.65059,            0.022064,             0.01056,           0.0031427,            0.008416,            0.008416,            0.008416
                  26,            0.026174,            0.012325,           0.0031282,             0.95111,             0.85587,             0.91142,              0.6568,            0.021981,            0.010453,           0.0030003,             0.00835,             0.00835,             0.00835
                  27,            0.026115,            0.012248,           0.0030141,             0.94467,             0.86615,             0.91561,             0.66498,            0.021416,            0.010193,           0.0028949,            0.008284,            0.008284,            0.008284
                  28,            0.025389,            0.012159,             0.00296,             0.92472,             0.86913,               0.915,             0.65863,            0.021311,            0.010164,           0.0029526,            0.008218,            0.008218,            0.008218
                  29,            0.025111,            0.011973,           0.0028831,             0.95499,             0.86138,             0.91632,             0.65582,            0.021374,            0.010233,           0.0028224,            0.008152,            0.008152,            0.008152
                  30,            0.025371,            0.012146,           0.0030943,             0.95485,             0.87226,             0.92294,             0.66582,            0.021414,            0.010109,           0.0028594,            0.008086,            0.008086,            0.008086
                  31,            0.024694,            0.011845,           0.0027305,              0.9559,             0.86082,             0.92134,             0.67681,            0.020654,            0.010267,           0.0027045,             0.00802,             0.00802,             0.00802
                  32,            0.024306,            0.011706,           0.0026303,             0.95436,             0.87104,             0.92613,             0.67577,            0.020856,           0.0098296,           0.0027285,            0.007954,            0.007954,            0.007954
                  33,            0.024241,            0.011818,           0.0026684,             0.95377,             0.87285,             0.92214,             0.67744,            0.020536,           0.0097318,           0.0027538,            0.007888,            0.007888,            0.007888
                  34,            0.024257,            0.011753,            0.002674,             0.96621,             0.87059,             0.92777,             0.68266,             0.02009,           0.0097491,           0.0026031,            0.007822,            0.007822,            0.007822
                  35,            0.024025,            0.011734,           0.0026535,             0.95056,             0.88328,             0.92746,             0.68256,            0.020121,           0.0096344,           0.0027281,            0.007756,            0.007756,            0.007756
                  36,            0.023741,            0.011643,           0.0026752,             0.95695,             0.88236,             0.93363,              0.6868,            0.019746,           0.0096176,           0.0025491,             0.00769,             0.00769,             0.00769
                  37,            0.023382,            0.011491,           0.0024848,             0.95928,             0.88408,             0.93143,             0.69416,             0.01929,           0.0095635,           0.0025804,            0.007624,            0.007624,            0.007624
                  38,            0.022786,            0.011221,           0.0024852,             0.96289,             0.88184,             0.93485,             0.69554,            0.019444,           0.0095306,           0.0025129,            0.007558,            0.007558,            0.007558
                  39,            0.023017,             0.01146,           0.0025527,             0.96013,             0.88381,             0.92971,             0.69376,             0.01905,           0.0095523,           0.0026673,            0.007492,            0.007492,            0.007492
                  40,            0.023205,            0.011437,           0.0025109,             0.96106,             0.89328,             0.93591,             0.69708,            0.019223,           0.0094907,            0.002589,            0.007426,            0.007426,            0.007426
                  41,            0.022924,            0.011242,            0.002602,             0.95811,             0.89202,             0.93653,             0.69654,            0.019355,           0.0094204,           0.0025402,             0.00736,             0.00736,             0.00736
                  42,            0.022499,            0.011195,           0.0024305,             0.96439,             0.88761,             0.93866,             0.70425,            0.018593,           0.0092498,           0.0025047,            0.007294,            0.007294,            0.007294
                  43,            0.022512,            0.011083,            0.002395,             0.95634,             0.89177,             0.93289,             0.69374,            0.019195,           0.0094109,           0.0024598,            0.007228,            0.007228,            0.007228
                  44,            0.022139,            0.011091,           0.0023595,             0.95991,             0.89374,             0.93358,             0.70487,            0.018375,           0.0091295,           0.0024793,            0.007162,            0.007162,            0.007162
                  45,            0.022234,            0.010943,           0.0023369,             0.96583,             0.90244,             0.94356,             0.70879,            0.018486,           0.0090952,           0.0024436,            0.007096,            0.007096,            0.007096
                  46,            0.021883,            0.010951,           0.0024822,             0.96138,             0.89233,             0.93164,             0.70055,            0.018421,           0.0091176,           0.0026429,             0.00703,             0.00703,             0.00703
                  47,            0.022043,            0.010929,           0.0025311,             0.94841,             0.90443,             0.93655,             0.70605,            0.018513,           0.0092442,           0.0024448,            0.006964,            0.006964,            0.006964
                  48,             0.02171,            0.010913,           0.0023342,             0.95364,             0.90796,              0.9427,             0.71226,            0.018165,           0.0090153,           0.0024155,            0.006898,            0.006898,            0.006898
                  49,            0.021947,            0.010934,           0.0024888,             0.95826,             0.90547,             0.94226,             0.71599,            0.017917,           0.0090661,           0.0022823,            0.006832,            0.006832,            0.006832
                  50,            0.021415,            0.010921,           0.0022394,             0.96917,             0.89922,             0.94337,             0.71835,            0.017809,           0.0089635,           0.0023298,            0.006766,            0.006766,            0.006766
                  51,            0.021089,            0.010882,           0.0023942,             0.96888,             0.90727,             0.94558,             0.71929,            0.017867,           0.0089516,           0.0023694,              0.0067,              0.0067,              0.0067
                  52,            0.021015,            0.010661,           0.0022465,             0.97113,              0.9028,             0.94443,             0.72091,            0.017639,           0.0090241,           0.0023253,            0.006634,            0.006634,            0.006634
                  53,            0.021154,            0.010798,           0.0022697,             0.96125,             0.90629,             0.94514,             0.72459,            0.017555,           0.0089599,           0.0023277,            0.006568,            0.006568,            0.006568
                  54,            0.020846,            0.010603,           0.0021854,             0.96997,              0.9093,             0.94798,             0.72575,            0.017467,           0.0088853,             0.00234,            0.006502,            0.006502,            0.006502
                  55,            0.020973,            0.010539,           0.0022611,             0.96914,             0.91183,             0.94931,             0.73043,            0.016959,            0.008742,           0.0022557,            0.006436,            0.006436,            0.006436
                  56,             0.02086,            0.010597,           0.0022225,             0.97679,             0.91146,             0.95186,             0.73014,            0.017507,           0.0087867,           0.0024202,             0.00637,             0.00637,             0.00637
                  57,            0.020331,            0.010466,           0.0022435,             0.97265,             0.90671,              0.9483,             0.73484,            0.017006,           0.0087003,           0.0022429,            0.006304,            0.006304,            0.006304
                  58,            0.020504,            0.010487,           0.0021216,             0.97539,             0.90623,             0.94961,             0.72936,            0.017143,           0.0086049,           0.0022484,            0.006238,            0.006238,            0.006238
                  59,            0.020211,            0.010429,           0.0022339,             0.97248,             0.90854,             0.95045,             0.73034,            0.016998,           0.0086745,           0.0021935,            0.006172,            0.006172,            0.006172
                  60,             0.02017,            0.010272,           0.0022082,             0.96259,             0.90843,             0.94627,             0.73208,             0.01707,           0.0085822,           0.0022226,            0.006106,            0.006106,            0.006106
                  61,            0.020412,            0.010459,           0.0022246,              0.9651,             0.91132,             0.94794,             0.73109,             0.01694,           0.0087008,            0.002179,             0.00604,             0.00604,             0.00604
                  62,            0.019597,            0.010192,            0.002057,              0.9701,             0.91129,             0.95264,             0.74085,            0.016553,           0.0085065,           0.0021549,            0.005974,            0.005974,            0.005974
                  63,            0.019711,            0.010316,           0.0020257,             0.96463,             0.90518,             0.94777,             0.74004,            0.016711,           0.0086439,           0.0022354,            0.005908,            0.005908,            0.005908
                  64,            0.019694,            0.010193,           0.0020077,             0.96993,             0.91131,             0.95068,             0.73815,            0.016823,           0.0085703,           0.0021646,            0.005842,            0.005842,            0.005842
                  65,            0.019667,            0.010219,           0.0020894,             0.96953,             0.91002,             0.95185,             0.73961,            0.016594,           0.0084592,           0.0021352,            0.005776,            0.005776,            0.005776
                  66,            0.019317,            0.010124,           0.0019279,             0.97433,             0.91368,             0.95288,             0.74812,            0.016084,           0.0083579,           0.0021452,             0.00571,             0.00571,             0.00571
                  67,            0.019309,           0.0099599,           0.0019895,             0.96862,             0.91317,             0.95142,             0.74063,            0.016331,           0.0083853,           0.0021793,            0.005644,            0.005644,            0.005644
                  68,             0.01917,           0.0099692,           0.0020179,             0.97241,             0.91344,             0.95369,             0.74553,            0.016161,           0.0082834,           0.0021999,            0.005578,            0.005578,            0.005578
                  69,            0.018998,           0.0099494,           0.0019274,             0.97911,             0.91331,             0.95581,             0.74069,            0.016384,           0.0083786,           0.0021361,            0.005512,            0.005512,            0.005512
                  70,             0.01906,           0.0099673,           0.0019505,             0.97548,             0.91279,             0.95455,             0.74728,            0.015732,           0.0082089,           0.0021479,            0.005446,            0.005446,            0.005446
                  71,               0.019,           0.0099089,           0.0019025,             0.97249,             0.91349,             0.95504,             0.74632,            0.015934,           0.0080791,            0.002111,             0.00538,             0.00538,             0.00538
                  72,            0.018827,           0.0098181,           0.0019036,             0.97903,             0.91289,             0.95694,             0.75217,            0.015708,           0.0082137,            0.002171,            0.005314,            0.005314,            0.005314
                  73,            0.018669,           0.0097436,           0.0018964,             0.97556,             0.91934,             0.95757,             0.75034,             0.01573,           0.0081628,           0.0021497,            0.005248,            0.005248,            0.005248
                  74,            0.018779,           0.0097287,           0.0019502,             0.97638,             0.91689,             0.95533,             0.74847,            0.016001,           0.0082055,           0.0021189,            0.005182,            0.005182,            0.005182
                  75,            0.018361,           0.0098786,           0.0018368,             0.97613,             0.91607,             0.95751,             0.75373,            0.015613,           0.0080741,           0.0020672,            0.005116,            0.005116,            0.005116
                  76,            0.018503,           0.0097173,           0.0019041,             0.97512,             0.91329,             0.95451,             0.75569,            0.015519,           0.0079918,           0.0021136,             0.00505,             0.00505,             0.00505
                  77,            0.018374,           0.0099244,           0.0018573,             0.97389,             0.91599,             0.95663,             0.75796,            0.015308,           0.0079308,           0.0020188,            0.004984,            0.004984,            0.004984
                  78,            0.017921,           0.0096059,           0.0018806,             0.97534,             0.91676,             0.95735,             0.76004,            0.015182,           0.0078925,           0.0019654,            0.004918,            0.004918,            0.004918
                  79,            0.018137,           0.0096424,           0.0019169,             0.97169,             0.92272,             0.95863,             0.75914,            0.015139,           0.0079803,           0.0019353,            0.004852,            0.004852,            0.004852
                  80,            0.018004,           0.0096097,           0.0018947,             0.98184,             0.90979,             0.95915,             0.75657,            0.015295,           0.0080119,           0.0019829,            0.004786,            0.004786,            0.004786
                  81,            0.018369,           0.0098052,           0.0020651,             0.97418,             0.90913,             0.95624,              0.7609,            0.015332,           0.0079574,           0.0020616,             0.00472,             0.00472,             0.00472
                  82,            0.018067,           0.0096108,           0.0018289,              0.9769,              0.9153,             0.95634,             0.76171,            0.015133,           0.0079911,           0.0020091,            0.004654,            0.004654,            0.004654
                  83,            0.017648,           0.0094669,           0.0018277,             0.97746,             0.91806,             0.95881,             0.76231,            0.015132,           0.0079022,           0.0019079,            0.004588,            0.004588,            0.004588
                  84,            0.017812,           0.0096237,           0.0017507,             0.98357,             0.91685,             0.96068,             0.76438,            0.014994,           0.0079334,           0.0019354,            0.004522,            0.004522,            0.004522
                  85,            0.017667,           0.0093489,           0.0017477,             0.98548,             0.91752,             0.96121,             0.76528,             0.01491,           0.0077793,           0.0019881,            0.004456,            0.004456,            0.004456
                  86,            0.017628,           0.0094202,           0.0018064,             0.97955,              0.9232,             0.96129,              0.7695,            0.014862,           0.0077567,           0.0019602,             0.00439,             0.00439,             0.00439
                  87,            0.017346,           0.0094896,           0.0017783,             0.98085,             0.92393,             0.95774,             0.76625,            0.014753,            0.007809,            0.001906,            0.004324,            0.004324,            0.004324
                  88,            0.017281,           0.0095037,           0.0018241,             0.97993,             0.93075,             0.96412,             0.77051,            0.014819,           0.0077331,           0.0018885,            0.004258,            0.004258,            0.004258
                  89,             0.01701,           0.0093432,           0.0016854,             0.97844,             0.92771,             0.96388,             0.77202,             0.01472,           0.0077313,           0.0019332,            0.004192,            0.004192,            0.004192
                  90,            0.017149,             0.00927,           0.0018255,              0.9773,             0.92685,             0.96249,              0.7718,             0.01455,           0.0076707,             0.00192,            0.004126,            0.004126,            0.004126
                  91,            0.017137,           0.0092522,           0.0018625,             0.97908,             0.92499,             0.96286,             0.77623,            0.014631,           0.0076678,           0.0019063,             0.00406,             0.00406,             0.00406
                  92,            0.016969,           0.0092025,           0.0017472,             0.97791,             0.92149,             0.96187,              0.7767,            0.014524,           0.0076579,           0.0019428,            0.003994,            0.003994,            0.003994
                  93,            0.016907,            0.009323,           0.0018465,              0.9763,             0.92233,             0.96166,             0.77841,            0.014471,           0.0075735,           0.0018076,            0.003928,            0.003928,            0.003928
                  94,            0.016828,           0.0091977,            0.001663,              0.9795,             0.92544,             0.96213,             0.77895,            0.014471,           0.0075723,           0.0017951,            0.003862,            0.003862,            0.003862
                  95,            0.016833,           0.0091347,           0.0017279,             0.97579,              0.9248,             0.96227,             0.77778,            0.014552,           0.0076346,           0.0017815,            0.003796,            0.003796,            0.003796
