               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.016451,           0.0091228,           0.0016352,             0.98101,             0.92241,             0.96223,             0.77851,            0.014496,           0.0076646,           0.0018375,             0.00373,             0.00373,             0.00373
                  97,            0.016764,           0.0091169,           0.0017169,             0.97538,             0.92842,             0.96385,             0.77765,            0.014507,           0.0075739,           0.0018021,            0.003664,            0.003664,            0.003664
                  98,            0.016338,           0.0089421,           0.0016401,             0.97868,             0.92441,              0.9621,             0.77973,            0.014439,           0.0075339,           0.0018033,            0.003598,            0.003598,            0.003598
                  99,            0.016479,            0.009167,           0.0016793,             0.97367,             0.92743,             0.96054,             0.77959,            0.014396,           0.0075154,           0.0017751,            0.003532,            0.003532,            0.003532
                 100,            0.016213,            0.008965,           0.0016244,             0.97497,             0.93005,             0.96307,             0.78142,             0.01415,           0.0074259,             0.00168,            0.003466,            0.003466,            0.003466
                 101,            0.016039,           0.0088166,            0.001552,             0.97855,             0.92716,             0.96187,              0.7819,            0.014169,           0.0074376,           0.0017093,              0.0034,              0.0034,              0.0034
                 102,            0.015993,           0.0089574,           0.0015746,             0.97797,             0.93022,             0.96388,             0.78279,            0.014202,           0.0074405,           0.0017185,            0.003334,            0.003334,            0.003334
                 103,            0.016052,            0.008889,           0.0016469,             0.97878,             0.92917,             0.96337,              0.7824,            0.014103,           0.0074433,           0.0016891,            0.003268,            0.003268,            0.003268
                 104,            0.015788,           0.0087996,           0.0015445,             0.98264,             0.92762,             0.96597,             0.78522,            0.013958,           0.0074057,           0.0016941,            0.003202,            0.003202,            0.003202
                 105,            0.015835,           0.0088843,           0.0015409,             0.98457,             0.92357,             0.96458,              0.7841,            0.014018,           0.0073837,            0.001739,            0.003136,            0.003136,            0.003136
                 106,            0.015633,           0.0088355,           0.0015054,              0.9815,             0.92445,             0.96403,             0.78657,            0.013983,           0.0074062,           0.0017549,             0.00307,             0.00307,             0.00307
                 107,            0.015809,            0.008781,           0.0016156,             0.98085,             0.92413,              0.9631,             0.78786,            0.013931,           0.0073951,           0.0017597,            0.003004,            0.003004,            0.003004
                 108,            0.015582,            0.008717,           0.0016255,             0.97459,             0.92899,             0.96371,             0.78492,            0.013973,           0.0073802,           0.0017048,            0.002938,            0.002938,            0.002938
                 109,            0.015319,           0.0087443,           0.0014673,             0.98062,             0.92725,             0.96551,             0.78632,            0.013962,           0.0073613,           0.0017462,            0.002872,            0.002872,            0.002872
                 110,            0.015644,           0.0088205,           0.0016264,             0.98542,             0.92923,             0.96543,             0.78667,            0.013829,           0.0073698,           0.0017832,            0.002806,            0.002806,            0.002806
                 111,            0.015396,           0.0087953,           0.0015432,             0.98436,             0.92573,             0.96481,              0.7886,            0.013732,           0.0073155,           0.0017778,             0.00274,             0.00274,             0.00274
                 112,            0.015475,           0.0086654,           0.0016367,             0.98421,             0.92666,             0.96527,             0.79128,            0.013618,           0.0072712,           0.0017395,            0.002674,            0.002674,            0.002674
                 113,             0.01514,           0.0085299,           0.0014807,             0.98318,             0.93119,             0.96605,             0.79276,            0.013597,           0.0072467,           0.0016487,            0.002608,            0.002608,            0.002608
                 114,            0.015122,           0.0086512,           0.0015117,             0.98377,             0.93092,             0.96697,             0.79279,            0.013587,           0.0072387,           0.0016566,            0.002542,            0.002542,            0.002542
                 115,            0.015124,           0.0084087,           0.0015352,              0.9851,             0.93092,              0.9686,             0.79426,            0.013537,           0.0072048,           0.0016287,            0.002476,            0.002476,            0.002476
                 116,            0.015061,           0.0085486,            0.001521,             0.98493,             0.93179,             0.96722,               0.793,            0.013493,           0.0071676,           0.0016302,             0.00241,             0.00241,             0.00241
                 117,             0.01498,           0.0086121,           0.0014854,             0.98717,             0.93209,             0.96749,              0.7949,            0.013442,           0.0071628,           0.0016166,            0.002344,            0.002344,            0.002344
                 118,            0.014952,           0.0085803,           0.0014782,             0.98658,             0.93344,              0.9687,             0.79604,            0.013431,           0.0071351,           0.0016169,            0.002278,            0.002278,            0.002278
                 119,            0.014541,           0.0084045,           0.0014031,             0.98948,             0.93467,             0.96794,             0.79744,            0.013366,           0.0071246,           0.0016041,            0.002212,            0.002212,            0.002212
                 120,            0.014719,           0.0084594,           0.0014858,             0.98673,             0.93321,             0.96608,             0.79583,            0.013328,           0.0071339,           0.0015975,            0.002146,            0.002146,            0.002146
                 121,            0.014569,           0.0083306,           0.0014022,             0.98433,              0.9324,             0.96675,             0.79568,            0.013301,           0.0071278,           0.0015874,             0.00208,             0.00208,             0.00208
                 122,            0.014516,           0.0082385,           0.0014192,             0.98486,             0.93427,             0.96784,              0.7966,            0.013295,           0.0071167,           0.0015757,            0.002014,            0.002014,            0.002014
                 123,            0.014437,           0.0083981,           0.0014322,             0.97943,              0.9365,             0.96659,             0.79883,            0.013251,           0.0070694,           0.0015644,            0.001948,            0.001948,            0.001948
                 124,            0.014368,           0.0082491,           0.0014124,             0.98121,             0.93471,             0.96674,             0.79877,            0.013248,           0.0070682,           0.0015696,            0.001882,            0.001882,            0.001882
                 125,            0.014344,           0.0081865,           0.0015108,             0.97436,             0.94305,             0.96654,             0.79889,            0.013232,           0.0070649,           0.0015778,            0.001816,            0.001816,            0.001816
                 126,            0.014277,           0.0080778,           0.0014421,             0.97417,             0.94082,             0.96756,             0.80022,            0.013196,           0.0070653,           0.0015594,             0.00175,             0.00175,             0.00175
                 127,            0.014289,           0.0082459,           0.0014303,             0.97317,             0.94189,             0.96793,             0.80094,            0.013152,           0.0070521,           0.0015666,            0.001684,            0.001684,            0.001684
                 128,            0.014143,           0.0080666,           0.0013906,             0.98823,             0.92507,             0.96693,             0.80041,            0.013281,           0.0070922,           0.0016053,            0.001618,            0.001618,            0.001618
                 129,               0.014,           0.0080962,           0.0013747,             0.98733,             0.92804,             0.96709,             0.80266,            0.013209,           0.0070762,           0.0015925,            0.001552,            0.001552,            0.001552
                 130,            0.013975,           0.0080527,           0.0013545,             0.98808,             0.92931,             0.96856,             0.80131,            0.013218,             0.00708,           0.0016546,            0.001486,            0.001486,            0.001486
                 131,            0.013821,           0.0080538,           0.0013221,             0.98878,             0.92886,             0.96845,             0.80199,            0.013167,           0.0070459,           0.0016159,             0.00142,             0.00142,             0.00142
                 132,            0.013965,           0.0079958,           0.0014069,             0.97994,             0.93676,             0.96912,             0.80282,            0.013127,           0.0070389,            0.001619,            0.001354,            0.001354,            0.001354
                 133,            0.013804,           0.0080583,            0.001345,               0.977,             0.93818,             0.96957,             0.80479,            0.013053,           0.0069929,           0.0015763,            0.001288,            0.001288,            0.001288
                 134,            0.013621,           0.0078641,           0.0013332,             0.98111,             0.93692,             0.96914,             0.80544,            0.013067,           0.0069876,           0.0015923,            0.001222,            0.001222,            0.001222
                 135,            0.013445,           0.0078695,           0.0012969,             0.97893,             0.94024,             0.96944,             0.80486,            0.013024,           0.0069594,           0.0015708,            0.001156,            0.001156,            0.001156
                 136,            0.013599,           0.0080822,           0.0013864,             0.98127,             0.93792,              0.9693,              0.8071,            0.012968,             0.00695,           0.0015593,             0.00109,             0.00109,             0.00109
                 137,            0.013508,           0.0077212,           0.0013346,             0.98206,             0.93631,             0.96975,             0.80801,            0.012939,           0.0069521,           0.0015267,            0.001024,            0.001024,            0.001024
                 138,            0.013427,           0.0079046,           0.0013169,             0.98215,             0.93635,             0.96982,             0.80865,            0.012944,           0.0069681,           0.0015332,            0.000958,            0.000958,            0.000958
                 139,            0.013285,           0.0078345,           0.0012932,              0.9833,             0.93648,              0.9698,             0.80959,            0.012918,           0.0069346,           0.0015145,            0.000892,            0.000892,            0.000892
                 140,            0.013197,           0.0077287,           0.0012962,             0.98121,             0.93791,             0.97044,             0.80978,            0.012891,           0.0069189,            0.001516,            0.000826,            0.000826,            0.000826
                 141,            0.013241,           0.0077411,           0.0013579,             0.98286,             0.93651,              0.9704,              0.8098,            0.012855,           0.0068943,            0.001505,             0.00076,             0.00076,             0.00076
                 142,            0.013184,           0.0077254,           0.0012937,             0.97888,              0.9401,             0.97009,             0.81074,            0.012843,           0.0068882,           0.0014883,            0.000694,            0.000694,            0.000694
                 143,            0.013153,           0.0077525,           0.0012966,             0.97891,             0.94044,              0.9703,             0.81239,            0.012837,           0.0068898,           0.0014799,            0.000628,            0.000628,            0.000628
                 144,            0.013097,           0.0076888,           0.0012087,             0.97809,             0.94015,             0.96998,             0.81211,            0.012848,           0.0068979,           0.0014811,            0.000562,            0.000562,            0.000562
                 145,            0.013063,           0.0076819,           0.0012867,             0.98049,             0.93863,             0.96965,             0.81145,            0.012857,           0.0069081,           0.0014839,            0.000496,            0.000496,            0.000496
                 146,            0.013025,           0.0076521,           0.0012905,             0.98075,             0.93848,             0.97032,             0.81196,            0.012855,           0.0069116,           0.0014915,             0.00043,             0.00043,             0.00043
                 147,            0.012948,           0.0076654,           0.0013056,             0.98164,             0.93871,             0.97056,             0.81223,            0.012831,            0.006905,           0.0014927,            0.000364,            0.000364,            0.000364
                 148,            0.012751,           0.0077147,           0.0012122,             0.98179,             0.93878,             0.97043,             0.81266,            0.012809,           0.0068929,           0.0014912,            0.000298,            0.000298,            0.000298
                 149,            0.012716,           0.0075648,           0.0012648,             0.98268,             0.93889,             0.97091,             0.81331,            0.012805,           0.0068868,            0.001494,            0.000232,            0.000232,            0.000232
